adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Madeira Islands,PRT,-16.972586,32.736569,,,,,,,,1
Malawi,MWI,33.488462,-13.408199,08.12.2020,https://www.nyasatimes.com/malawian-airliner-cancels-flights/,Malawi Airlines,Malawi Airlines cancels flights.,,,,2
Malaysia,MYS,116.834631,5.452415,23.12.2020,https://www.businesstraveller.com/business-travel/2020/12/22/malaysia-airlines-restructure-expected-by-year-end/,Malaysian Airlines,Malaysia Airlines restructure expected by year-end.,,,,3
Malaysia,MYS,116.834631,5.452415,08.01.2021,https://www.thestar.com.my/business/business-news/2021/01/07/malaysia-airlines-nears-end-of-restructuring-parent-co-says,Malaysian Airlines,"Malaysia Airlines nears end of restructuring, parent co says.",,,,4
Malaysia,MYS,116.834631,5.452415,14.01.2021,https://www.reuters.com/article/airasia-strategy-internet-int/airasias-digital-platform-eyes-more-airline-partnerships-idUSKBN29I0QN,Malaysian Airlines,AirAsia's digital platform eyes more airline partnerships,,,,5
Malaysia,MYS,116.834631,5.452415,18.01.2021,https://www.theedgemarkets.com/article/malaysia-airlines-reinstate-flights-australia-new-zealand-london-year-%E2%80%94-report,Malaysian Airlines,"Malaysia Airlines to reinstate flights to Australia, New Zealand, London this year — report",,,,6
Malaysia,MYS,116.834631,5.452415,19.01.2021,"https://www.theedgemarkets.com/article/malaysia-airlines-reinstate-flights-australia-new-zealand-london-year-%E2%80%94-report#:~:text=%E2%80%9CMalaysia%20Airlines%20is%20boldly%20betting,UK%2C%E2%80%9D%20Executive%20Traveller%20reported.&text=The%20airline%20aims%20to%20achieve%20two%20flights%20a%20day%20from%20December.",Malaysian Airlines,"Malaysia Airlines to reinstate flights to Australia, New Zealand, London this year — report",,,,7
Malaysia,MYS,116.834631,5.452415,22.01.2021,https://www.businesstraveller.com/business-travel/2021/01/22/malaysia-airlines-plans-daily-uk-kuala-lumpur-service-by-july/,Malaysian Airlines,Malaysia Airlines plans daily UK-Kuala Lumpur service by July,,,,8
Malaysia,MYS,116.834631,5.452415,25.01.2021,https://www.nst.com.my/business/2021/01/660231/malaysia-airlines-continues-flying-despite-raging-covid-19-pandemic%C2%A0,Malaysian Airlines,Malaysia Airlines continues flying despite raging Covid-19 pandemic.,,,,9
Malaysia,MYS,116.834631,5.452415,26.01.2021,https://simpleflying.com/air-asia-route-resumption/?utm_source=dlvr.it&utm_medium=twitter,Air Aisia,Air Asia wants to resume most of its routes this year.,,,,10
Malaysia,MYS,116.834631,5.452415,26.01.2021,https://www.nst.com.my/business/2021/01/660231/malaysia-airlines-continues-flying-despite-raging-covid-19-pandemic%C2%A0,Malaysian Airlines,Malaysia Airlines continues flying despite raging Covid-19 pandemic.,,,,11
Maldives,MDV,73.545949,1.92666,01.12.2020,https://avas.mv/en/92362,Silk Air,SilkAir resumes operations between countries ,,,,12
Maldives,MDV,73.545949,1.92666,31.12.2020,https://raajje.mv/92943,Qatar Airways,Qatar Airways increases flights to Maldives ,,,,13
Maldives,MDV,73.545949,1.92666,21.01.2021,https://www.islandchief.com/news/view/52584,SriLankan Airlines,SriLankan Airlines will resume London-Maldives direct flights from 13 February,,,,14
Mali,MLI,-3.527933,17.358919,01.12.2020,https://outline.com/jAUe2K,Sky Mali,Sky Mali eyes international expansion in 1Q21,,,,15
Malta,MLT,14.440213,35.888112,08.12.2020,https://traveltradedaily.com/europe-air/item/7139-air-malta-launched-business-guaranteed-flight-schedule,airmalta,Air Malta launched ‘Business Guaranteed’ flight schedule.,,,,16
Marshall Islands,MHL,168.111299,5.617142,,,,,,,,17
Mayotte,MYT,45.14408,-12.823484,,,,,,,,18
Mexico,MEX,-102.52608,23.944025,01.12.2020,https://mexiconewsdaily.com/news/interjet-cancels-all-its-flights-again//,Interjet,Interjet cancels all its flights again as it has no money for fuel.,,,,19
Mexico,MEX,-102.52608,23.944025,09.12.2020,https://www.reportur.com/mexico/2020/12/07/llega-abril-al-aeropuerto-internacional-toluca-la-nueva-aerolinea-vlu/,VLU,"Mexican startup VLU, with base in Toluca and destinations to Tijuana, Culiacán, Mérida, Villahermosa, Puerto Vallarta, Acapulco, Zihuatanejo, Cancún, Monterrey.",,,,20
Abyei,"SDN, SSD",28.415755,9.786952,,,,,,,,21
Mexico,MEX,-102.52608,23.944025,11.12.2020,https://www.laprensa.com.ni/2020/12/10/economia/2758753-aeromexico-se-suma-a-la-decision-de-united-airlines-de-no-regresar-en-enero-2021,AeroMexico,Aeromexico to follow United in not returning to service Nicaragua in JAN21.,,,,22
Mexico,MEX,-102.52608,23.944025,14.12.2020,https://simpleflying.com/aeromexico-boeing-737-max-flights/,AeroMexico,Aeromexico will resume 737 MAX flights on 21 December,,,,23
Mexico,MEX,-102.52608,23.944025,16.12.2020,https://www.streetinsider.com/Globe+Newswire/AEROMEXICO+INCREASES+FLIGHTS+BETWEEN+MEXICO+CITY+AND+MONTREAL/17722298.html,AeroMexico,Aeromexico increases flights between Mexico City and Montreal.,,,,24
Mexico,MEX,-102.52608,23.944025,20.12.2020,https://airlinegeeks.com/2020/12/20/interjet-cancels-all-flights-through-2020/,Interjet,Interjet cancels all flights for remainder of 2020 because of financial issues,,,,25
Mexico,MEX,-102.52608,23.944025,21.12.2020,https://www.ch-aviation.com/portal/news/98545-mexicos-interjet-ejected-from-iata-bsp-staff-plea-for-help,Interjet,"Mexico’s Interjet ejected from IATA BSP, staff plea for help.",,,,26
Mexico,MEX,-102.52608,23.944025,22.12.2020,https://www.theyucatantimes.com/2020/12/new-merida-havana-flight/,Viva Aerobus ,New Merida – Havana flight.,,,,27
Mexico,MEX,-102.52608,23.944025,07.01.2021,https://airinsight.com/aeromexico-dispute-unions-chapter-11/,AeroMexico,Dispute between Aeromexico and unions potential to jeopardize Chapter 11 status.,,,,28
Mexico,MEX,-102.52608,23.944025,11.01.2021,https://www.reuters.com/article/mexico-interjet/update-1-workers-at-mexicos-interjet-strike-after-weeks-of-flight-cancellations-idUSL1N2JJ2A4,Interjet,Workers at Mexico's Interjet strike after weeks of flight cancellations,,,,29
Mexico,MEX,-102.52608,23.944025,12.01.2021,https://worldairlinenews.com/2021/01/12/aeromexico-requests-termination-of-aspa-and-assa-collective-bargaining-agreements-to-labor-authorities/,AeroMexico,AeroMexico requests termination of ASPA and ASSA collective bargaining agreements to labor authorities.,,,,30
