adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Kuril Islands,"RUS, JPN",147.877949,45.076156,,,,,,,1
Kuwait,KWT,47.492598,29.53972,13.07.2020,"[https://www.gov.uk/foreign-travel-advice/kuwait]
[[https://kw.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/29825692-2888-41b4-8113-190e31ad7290]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Nightly curfew to be shortened, COVID-19 restrictions enter 'phase three' on 28 July (Reuters, 23.07.2020). Nationals, residents advised against travel abroad (Reuters, 10.07.2020). Commercial flights at Kuwait International Airport will resume from 1 August. (Reuters, 29.06.2020) 

*****International restrictions: 
The Kuwait Government is no longer allowing non-Kuwaitis to enter Kuwait. The Kuwait Government has announced the partial reopening of the International Airport from 1 August, pending details of whether restrictions will apply on who can enter Kuwait. Commercial flights are now operating from Kuwait on a limited number of routes. 


*****Internal restrictions:
A nationwide curfew applies from 8pm - 5am daily. In addition, you are prohibited from travelling in or out of the following areas: Mahboula, Jleeb Al Shuyoukh, and Farwaniya. The Kuwait Government has announced that the prohibition on travelling in or out of Mahboula and Jleeb Al Shuyoukh will end from 9 July. Follow the official Kuwait News Agency for details [https://www.kuna.net.kw/Default.aspx?language=en]. The Kuwait Government has ordered the wearing of face masks in public. Penalties for not wearing a mask in public are a fine of 5000 KD or a prison sentence of three months.",20200713,Kuwaiti citizens who enter Kuwait from any country will be put in home quarantine for 28 days upon arrival unless they display COVID-19 symptoms in which they will be put in institutional quarantine. ,COVID-19 negative certification not required / not known,2
Kyrgyzstan,KGZ,74.523246,41.462046,24.07.2020,"[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://kg.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Report/0b188dc8-9621-4fc3-8f2c-18dbba6df20c]","*****International restrictions: 
Limited commercial air service resumed on 15 June (Fly Dubai and Turkish).
Most foreign nationals are banned from entering the country, including permanent residence holders. Foreign nationals with a close family member who is a Kyrgz national (spouse, parent, child) will be allowed to enter with documentary proof of the relationship. Foreign citizens who are specialist workers on W1 and W2 visas are also now able to enter Kyrgyzstan, though their family members may not be eligible. For any questions on entry or exit requirements you should contact the relevant Kyrgyz authorities on +996 312 881 618. Previous requirements for anyone entering the country to stay in state quarantine facilities for 3 days have now been lifted. However if you are showing symptoms of Coronavirus you may be taken to state medical facilities. You are likely to be subject to temperature checks, and other medical observation on arrival, and could be asked to self-isolate at home.

*****Internal restrictions:
All land borders are closed. You should comply with any additional screening measures and other restrictions put in place by the authorities. The Kyrgyz Government advise limiting movement to essential travel only.If you are going to a public place you should wear a mask.If you are going out you will need to carry ID and a written copy of the following information: full name, telephone number, reason for leaving the house, time of leaving, expected time of return, home address / address of residence, destination address. Additional restrictions will be placed on those entering and exiting large cities. Restrictions on moving between villages, towns and cities across the rest of Kyrgyzstan remain in place. Individuals under observation or treatment for coronavirus are prohibited from leaving their homes. nter-regional public transport services are suspended. In Bishkek, public transport will only be available between 07:00 and 10:00 and 17:00-21:00 on weekdays. There will be no service during the weekends. Taxi services can continue to operate following strict hygiene practices.",20200724,"Previous requirements for anyone entering the country to stay in state quarantine facilities for 3 days have now been lifted. However if you are showing symptoms of Coronavirus you may be taken to state medical facilities. You are likely to be subject to temperature checks, and other medical observation on arrival, and could be asked to self-isolate at home. ",COVID-19 negative certification subject to special conditions. ,3
Lao People's Democratic Republic,LAO,101.990197,20.274828,10.07.2020,"[https://www.gov.uk/foreign-travel-advice/laos]
[https://la.usembassy.gov/covid-19-information/]
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]","Laos: Borders remain closed to foreigners but resume flights on Vientiane-Hanoi route (The Star, 19.07.2020)                                                                                             
                                                                                                                                                                                                                                                        
 *****International restrictions:
Commercial flights to and from Laos remain very limited. The Government of the Lao PDR has suspended the visa on arrival service at all international entry points. No visas are being issued to people travelling from or transiting a country with ongoing COVID-19 outbreak. However, the authorities may consider granting entry permission for foreigners (experts, technicians and foreign nationals that are required for essential projects) who wish to travel to Laos.  Entry procedures for Laos visa-holders: All foreigners must present a Certificate of Entry (issued by the MFA); a completed Declaration form; and a ‘Fit to Fly’ Certificate issued no more than 72 hours prior to travel. All arrivals will be subject to a free COVID-19 test. Positive cases will be admitted to hospital for treatment. All negative cases have to undergo 14 days quarantine at designated locations (with all expenses covered by individuals or their organisations/companies). The application form for the health declaration is available on the official website for the Ministry of Foreign Affairs [http://www.mofa.gov.la/index.php].
There is compulsory free testing for COVID-19 on arrival in Laos. Those testing positive will be admitted to hospital for treatment. Enhanced health screening is in place and border crossings between Laos, Thailand, Cambodia, and Vietnam are closed. Anybody travelling to Laos with a fever, cough or difficulty breathing, and a travel history from coronavirus affected countries, will be isolated in hospital and tested. The hospitals being used are Mittaphab, Mahosot, Setthathirath and the National Military Hospital (103). All arrivals testing negative for COVID-19 will have to undergo 14 days quarantine at designated locations (with all expenses covered by individuals or their organisations/companies). There is no compulsory COVID testing on departure from Laos.
The Thai Government has announced that all Thailand-Laos border crossings are closed until further notice, including the Friendship Bridge between Vientiane and Nong Khai. Only commercial goods are permitted to cross at present. There may be exemptions for medical emergencies at the discretion of the Laos and Thai medical authorities.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
There are no travel restrictions within Laos and taxis, public transport and domestic flights have resumed services. You will be required to wear a mask. Temperature checks are in operation in some locations. Most businesses including restaurants, shops, food markets, gyms/spas, sports facilities, night markets, cinemas, casinos and tourist attractions are able to reopen, provided that COVID preventative measures are in place. These include providing alcohol gel, face masks being worn, maintaining 1m physical distancing, and checking temperatures. Some venues where the 1m social distancing rule cannot be applied, such as karaoke and night clubs, remain closed. Social gatherings, weddings and traditional events are now permitted as long as COVID-19 prevention measures and social distancing of 1m are in place. Hotels and private rental accommodation is available throughout Laos, although a number of hotels/hostels are currently closed due to reduced tourist numbers.
",20200710,All entrants will be subject to 14-day self-quarantine requirement at their own expense.,"COVID-19 negative certification required for entering the country.  

All arrivals will be subject to a free COVID-19 test. Positive cases will be admitted to hospital for treatment. All negative cases have to undergo 14 days quarantine at designated locations",4
Latvia,LVA,26.424619,56.641966,17.07.2020,"[https://www.gov.uk/foreign-travel-advice/latvia]
[https://lv.usembassy.gov/covid-19-information/]
[https://reopen.europa.eu/en/map/LVA]","*****International restrictions:
**From the EU: Citizens of the European Union, the European Economic Area and Switzerland, as well as people who are permanently residing in those countries, when travelling from their home countries to Latvia are no longer obliged to undergo a 14-day quarantine, so long as their home countries have maintained an incidence lower than 15 individuals in 100,000 who have fallen ill with COVID-19. Weekly revised list of Coronavirus safe countries [https://spkc.gov.lv/en].
**Transit: Entry is allowed to foreigners transiting through the territory of Latvia on their return to their country of residence.
**Third coutry nationals: As regards EU external borders, Latvia applies the EU Recommendations entering into force on 1/7/20. However, additional national requirements can be applied. As from 1 July, EU Member States should start lifting the restrictions on non-essential travel into the EU for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay, China, subject to confirmation of reciprocity. Residents of Andorra, Monaco, San Marino and the Vatican/Holy See should be considered as EU residents for this purpose. Every two weeks this list of countries will be reviewed and the information updated here. More info: [https://data.consilium.europa.eu/doc/document/ST-9208-2020-INIT/en/pdf].

*****Internal restrictions:
Movement throughout the country is allowed. The State of Emergency was lifted on 10 June 2020 but many of its measures, including restrictions on public events, the maintenance of social distancing, and the mandatory covering of the nose and mouth by passengers on public transport, remain in place.",20200717,"Travellers arriving from a country (or who have been in a country in the previous 14 days) where the cumulative incidence of COVID-19 cases in 100,000 of population over the previous 14 days is 16 or above are required to self-isolate for 14 days since leaving that country. These countries are marked in red and yellow in the table of comparative epidemiological data published every Friday on the Latvian Centre for Disease Prevention and Control website [https://spkc.gov.lv/lv/tavai-veselibai/aktualitate-par-jauno-koronavi/valstu-saslimstibas-raditaji-a/].
Further details on self-isolation are on the Latvian Centre for Disease Prevention and Control website [https://spkc.gov.lv/lv/tavai-veselibai/aktualitate-par-jauno-koronavi/valstu-saslimstibas-raditaji-a/if-returning-toentering-latvia/] and the Latvian Government’s COVID-19 website [https://covid19.gov.lv/en/covid-19/safety-measures/self-isolation].","COVID-19 negative certification not required / not known
From 16 July, all passengers are required on arrival to complete and hand to their transport provider (e.g. airline, bus or coach company, ferry line) a contact form [https://www.sam.gov.lv/images/modules/items/PDF/item_8838_Apliecinajums_ENG.pdf]. This should give your telephone number, address where you will be staying, list the countries you have visited in the previous 14 days and include an undertaking to comply with the epidemiological security measures established in Latvia to limit the spread of COVID-19.",5
Lebanon,LBN,35.894185,33.921586,17.07.2020,"[https://www.gov.uk/foreign-travel-advice/lebanon
[https://www.osac.gov/Content/Browse/Report?subContentTypes=Alerts%2CTravel%20Advisories]
[https://lb.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Beirut's Rafic Hariri International Airport to reopen 1 July; air traffic will be kept at 10 percent capacity (Reuters, 12.06.2020). 

*****International Restrictions
Beirut’s Rafic Hariri international airport re-opened on 1 July with initially limited capacity of 2,000 passengers daily and limited flights. All land border crossings into Syria remain closed indefinitely since March 12. For more information on the new regulations please refer to this guidance [https://www.youtube.com/watch?v=BW1defdeYtg]. (Copy and paste the link into your browser)


*****Internal Restrictions:
When traveling around Lebanon, including to and from the airport, private cars should have no more than three people in them (including the driver), unless they are all from the same household. Other vehicles should limit passenger numbers to a third of total capacity. Fabric masks covering the mouth and nose must be worn when outside the home and in vehicles (unless travelling alone, or exercising). Individuals must maintain a safe distance from one another and avoid crowded areas. Those over the age of 65 years old are advised to stay home and not go out unless absolutely necessary. Lebanese authorities may issue fines, impose road blocks, or imprison those violating these measures for up to three years. You should comply with all local measures introduced by the Lebanese authorities and obey the instructions of the security forces. These measures may be changed at short notice and localised lockdowns may be introduced. Keep up to date with information from your tour operator, transport or accommodation provider on the impact on any existing travel plans.
There are no testing or additional COVID-19 related procedures required for transiting traveller. Passengers with a short transit time will be allowed to proceed directly to their gate, those with a longer transit time will have to wait at a designated gate where a cafeteria is available.
Hotels and private rentals are available. Public and larger gatherings are banned. Some facilities remain closed, including schools, playgrounds, theatres and cinemas. Some public markets, banks, pharmacies, hotels, restaurants, beaches, swimming pools, nurseries, gyms, public parks and gardens, pubs and nightclubs, summer camps and other facilities are starting to re-open but you should check in advance.",20200717,"If you test positive for COVID-19 after entering Lebanon, you will have to quarantine at designated centres from and may be required to download a mobile phone application for follow up. The quarantine centres are managed by the respective Governorates Crisis Management Sub-Committee. Throughout, you will be required to follow Ministry of Health guidelines.","COVID-19 negative certification subject to special conditions. Please refer to this guidance video for details [https://www.youtube.com/watch?v=BW1defdeYtg]
Travellers arriving in Lebanon from countries where PCR testing is available, except for children under five years of age, are required to take a PCR test at a laboratory certified by local authorities within 96 hours prior to travel, and to show the result at check-in before proceeding to immigration. If the test result is positive, the passenger will be prohibited from boarding the aircraft. Upon arrival at Rafik Hariri International Airport, passengers will be required to take another PCR test, and must adhere to home quarantine until receiving the result (between 24 hours to 48 hours). Passengers travelling from countries without PCR testing capability will be required to have a test on arrival (excluding children under five years of age) and will be obliged to isolate for 24 hours in hotels that have been selected by the Ministry of Tourism, until they have received the results of the test conducted at the airport. Passengers travelling with some airlines may be required to pay $50 for the test, to be paid through the airline, whilst certain airlines may cover the cost. Travellers should check with their airline. Passengers will have to take a second test after 72 hours at their own expense at an accredited laboratory in accordance with the instructions of the Lebanese Ministry of Public Health. Passengers will not be allowed to leave their quarantine hotel until they have provided full details of the second test that they have booked. After leaving the hotel, passengers will still have to quarantine until the result of the new PCR test is issued via text message along with an electronic copy.
For passengers travelling from countries where PCR testing is not available for all, but who have conducted the PCR test there within 96 hours prior to their trip to Lebanon and the result was negative, it is possible to be exempted from another PCR test 72 hours after their arrival in Lebanon, according to the decision of the Ministry of Public Health Medical Team at the airport.
Passengers who left Lebanon for a period not exceeding one week will be exempt from PCR testing on arrival.
Connecting passengers are allowed to board a flight from PCR testing countries without conducting a PCR test before departure.",6
Lesotho,LSO,28.247043,-29.58314,23.07.2020,"[https://www.gov.uk/foreign-travel-advice/lesotho/health#coronavirus]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]
[https://ls.usembassy.gov/lesotho-country-specific-information-on-coronavirus-worldwide-outbreak/]","*****International Restrictions:  
Lesotho’s borders are closed except for all but essential trade. SAA Airlink flights between Maseru and Johannesburg Airport have been suspended. Moshoeshoe International Airport and the border crossing points at Maseru Bridge, Caledonspoort (Butha Buthe), Maputsoe Bridge, Qacha’s Nek Bridge and Vanrooyens Gate (Mafeteng) remain open, but with reduced operating hours, for conveyance of essential goods and services only. Entry and exit to Lesotho is allowed with approval from the Ministry of Home Affairs to provide or receive emergency medical services for a life threatening condition.
The Ministry of Foreign Affairs has advised that foreign visitors will be permitted to leave Lesotho to catch flights out of South Africa when flights resume. However, visitors to Lesotho must travel through, or transit via, South Africa.

*****Internal Restrictions:
The Government of Lesotho has partially lifted restrictions on movement. However all persons are still required to remain at home unless providing or acquiring goods or services, or attending funerals and religious services. Anyone leaving their place of residence must wear a mask or face covering. This includes in public and private vehicles, walking in the street, and in shops and public offices. Travel by vehicle is permitted only when necessary to obtain goods and services. Restrictions are in place to limit the number of passengers carried. Private vehicles are allowed to carry two people per row of seats. Face coverings should be worn. Public transport is only permitted to operate between 6am and 9pm. Hotels and guest houses are permitted to operate with specific conditions. Many have not yet reopened following the lifting of some of Lesotho’s lockdown restrictions. Schools are closed. Most businesses and offices are allowed to operate provided health regulations and social distancing are observed. Anyone leaving their place of residence must wear a mask. Purchase of alcohol is forbidden. Cafes and restaurants may only provide take away meals. Parks and nightclubs are not yet allowed to open. All gatherings are prohibited except for funerals and religious services of not more than 50 people. Weddings are restricted to 5 people.",20200723,"Anyone permitted to enter Lesotho will be required to provide details of where they will be staying during the compulsory quarantine. All individuals who have been in coronavirus-affected areas within the past 14 days, are required to self-quarantine at their permanent or temporary place of residence for 14 days. This may be monitored by health officials. This self-isolation period may be required to take place in a government-nominated hotel at the visitor’s expense. ","COVID-19 negative certification subject to special conditions.
Anyone entering Lesotho will be screened for coronavirus. You should also comply with any additional screening measures by the authorities if asked. Anyone showing symptoms of coronavirus may be placed in an isolation facility in a government hospital.",7
Liancourt Rock,"KOR, JPN",131.864842,37.241642,,,,,,,8
Liberia,LBR,-9.311921,6.448469,15.07.2020,"[https://www.osac.gov/Content/Report/051c92cd-f8fd-4b6e-ad7f-18e3e886d763]
[https://www.gov.uk/foreign-travel-advice/liberia]
[https://lr.usembassy.gov/covid-19-information/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Liberia’s Roberts International Airport is set to open today, but the country remains in a state of emergency until July 22. (Foreign Brief, 28.06.2020)
President extends state of emergency by 30 days because of COVID-19 outbreak (Reuters, 22.06.2020)

*****International restrictions:
Currently all land borders (with Sierra Leone, Guinea and Côte d’Ivoire) are closed to travellers. Ports remain open. Roberts International Airport (RIA) has reopened for commercial flights, however flights to and from Liberia remain very limited. Brussels Airlines intend to operate ad hoc flights. Other airlines have not confirmed planned flights. 
All travellers arriving in Liberia will be screened for the coronavirus. On arrival at entry points, staff will check your temperature and you must wash your hands with soap and water. If you display symptoms of coronavirus, public health officials may take you to a quarantine facility. You must register for symptom monitoring and contact tracing by providing a mobile phone number for USSD messaging or mobile app. In Roberts International Airport, you must stand in marked spaces within the terminal to allow for social distancing. Passengers entering Liberia have two options for COVID-19 testing. Government of Liberia strongly encourages travellers to be tested before arrival in Liberia. You can have a COVID-19 PCR test at your point of departure within 72 hours before your arrival in Liberia. If you present a negative PCR test result on arrival in Liberia, you will be allowed entry with symptom monitoring via USSD or mobile app. If you do not do a pre-departure PCR test before your arrival in Liberia, you will be tested on arrival. You will have to do a Rapid Test, and a swab will be collected for PCR test processing. If your Rapid Test result is negative, you will be allowed entry with symptom monitoring via USSD or mobile app.
If your Rapid Test result is positive, you will be taken to a government quarantine facility pending your PCR test result. Sample processing could take several days. If your subsequent PCR result is positive you must remain in government quarantine. It is likely you will have to remain in quarantine until you have two consecutive negative PCR results. Quarantine may last 14 days or longer. You should be prepared for travel restrictions, and changes to screening and precautionary observation requirements with no advance notice.
There is a high risk of being put into 14 days of quarantine, either on arrival or during your trip to Liberia. 
You are at risk of being put into quarantine or instructed to self-isolate for 14 days even after you have arrived in Liberia, if you develop symptoms (fever, cough or respiratory illness), or it is suspected you have been in contact with some who has tested positive for coronavirus. If you test positive for COVID-19, you may be transferred to a government treatment centre. You are strongly advised to familiarise yourself with these risks before travelling. All foreign citizens in quarantine or self-isolation will have their passports removed and held by the National Public Health Institute of Liberia (NPHIL) for 14 days. You will be given a copy of your passport to retain whilst in quarantine. If you are travelling on behalf of government, an international organisation/NGO or a company, you should check with your organisation whether they have pre-arranged a private POC, i.e. quarantine facility, authorised by NHPIL. The British Embassy cannot provide POC facilities. If you show symptoms, you may be transferred to quarantine or a government treatment centre Visitors arriving on a laissez-passer (except UN or EU), may also be taken to quarantine for secondary screening. Any suspicion of illegal attempts to circumvent the process will result in 14 days of quarantine.

Public health requirements for humanitarian flighs [https://humanitarianbooking.wfp.org/en/wfp-aviation/]

*****Internal restrictions:
A nationwide State of Emergency, which includes a range of measures to prevent the spread of coronavirus, has been extended effective from 22 June to 21 July, pending Legislature approval. Hygiene measures will continue. Security forces will enforce measures. You should adhere to all rules and seek information from local authorities. Details could change and further restrictions be imposed. Movement restrictions between counties (except Montserrado and Margibi counties, quarantined as a single unit) are likely to continue, pending Legislature approval, (except Montserrado and Margibi counties, quarantined as a single unit). A permit may be required for essential travel across county borders. You should monitor government pages for the latest information on movement restrictions (see Help and support). All residents in affected counties are required to stay indoors from 6pm-6am daily.
If you go out in public, you must wear a mask. Businesses must close by 6pm each day. If you are an essential worker (e.g. government, utilities, food production, healthcare, etc.) you may be exempt from some restrictions. Preventative measures introduced on 22 March continue to apply, including mandatory hand washing with soap and clean water at all premises, limits on gatherings and numbers of persons allowed in public premises at any one time. Some offices and businesses may also require temperature checks. Liberian authorities have advised community members to report those showing coronavirus symptoms (coughing, fever, and difficulty breathing) by calling 4455. Some hotels are open. Some of the larger restaurants, especially in the main hotels, have re-opened. Shops are open. Bars and casinos remain closed. Places of worship are permitted to hold services. You are required to wear face masks in all commercial premises and government buildings.
",20200715,"All arriving passengers who have not been tested at point of departure will be required to take a rapid test and a PCR swab at airport. In the event of a positive rapid test result, the passenger will be placed in the holding unit at the airport pending the final PCR test result.
You are at risk of being put into quarantine or instructed to self-isolate for 14 days even after you have arrived in Liberia, if you develop symptoms (fever, cough or respiratory illness), or it is suspected you have been in contact with some who has tested positive for coronavirus. If you test positive for COVID-19, you may be transferred to a government treatment centre. You are strongly advised to familiarise yourself with these risks before travelling.
All foreign citizens in quarantine or self-isolation will have their passports removed and held by the National Public Health Institute of Liberia (NPHIL) for 14 days. You will be given a copy of your passport to retain whilst in quarantine.
If you are travelling on behalf of government, an international organisation/NGO or a company, you should check with your organisation whether they have pre-arranged a private POC, i.e. quarantine facility, authorised by NHPIL. If you show symptoms, you may be transferred to quarantine or a government treatment centre. Visitors arriving on a laissez-passer (except UN or EU), may also be taken to quarantine for secondary screening. Any suspicion of illegal attempts to circumvent the process will result in 14 days of quarantine.","COVID-19 negative certification required for entering the country. 
All travellers arriving in Liberia will be screened for the coronavirus. On arrival at entry points, staff will check your temperature and you must wash your hands with soap and water. If you display symptoms of coronavirus, public health officials may take you to a quarantine facility. You must register for symptom monitoring and contact tracing by providing a mobile phone number for USSD messaging or mobile app. In Roberts International Airport, you must stand in marked spaces within the terminal to allow for social distancing.
Passengers entering Liberia have two options for COVID-19 testing. Government of Liberia strongly encourages travellers to be tested before arrival in Liberia. You can have a COVID-19 PCR test at your point of departure within 72 hours before your arrival in Liberia. If you present a negative PCR test result on arrival in Liberia, you will be allowed entry with symptom monitoring via USSD or mobile app.
If you do not do a pre-departure PCR test before your arrival in Liberia, you will be tested on arrival. You will have to do a Rapid Test, and a swab will be collected for PCR test processing. If your Rapid Test result is negative, you will be allowed entry with symptom monitoring via USSD or mobile app.
If your Rapid Test result is positive, you will be taken to a government quarantine facility pending your PCR test result. Sample processing could take several days. If your subsequent PCR result is positive you must remain in government quarantine. It is likely you will have to remain in quarantine until you have two consecutive negative PCR results. Quarantine may last 14 days or longer.
You should be prepared for travel restrictions, and changes to screening and precautionary observation requirements with no advance notice.",9
Libya,LBY,18.029942,27.038767,11.06.2020,"UNHAS: sources
[https://www.kayak.com/travel-restrictions/]
[https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening]","Misrata airport will reopen only for departing passengers on 26 July (Libya Herald, 20.07.2020). Libya has closed its borders.

*****International restrictions:
The GNA-imposed state of emergency officially expired on 6 Aprilt. Civil aviation in all Libyan airports remains suspended. UNHAS flights are suspended.
Exemptions will be made for individuals who critically need medical attention abroad. Since 5 May, Misrata Airport is open to repatriation flights to and from Istanbul International Airport. 

*****Internal restrictions: 
Curfew in GNA controlled areas is extended until at least 17 May from 18.00 to 06.00. The Municipal Council of Misrata reduced its 24-hour lockdown. Daily curfew is in place from 14.00 to 07.00. In eastern Libya, the parallel government led by Khalifa Belasim Haftar reduced its total lockdown to a daily curfew from 18.00 to 6.00. In-city movement is prohibited. ",20200611,"The Ministry of Health has multiple designated quarantine sites where individuals can be held in quarantine for 14 days.

Libyan authorities are carrying out enhanced temperature screenings of passengers arriving at air, land, and sea ports of entry.

Travelers should be prepared for new quarantine restrictions to be put into effect with little or no advance notice.",COVID-19 negative certification not required / not known,10
